"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
"1015","2013-12-01 00:00:03","2013-12-01 00:16:58","401","Allen St & Rivington St","40.72019576","-73.98997825","476","E 31 St & 3 Ave","40.74394314","-73.97966069","14729","Subscriber","1979","2"
"962","2013-12-01 00:00:07","2013-12-01 00:16:09","312","Allen St & E Houston St","40.722055","-73.989111","223","W 13 St & 7 Ave","40.73781509","-73.99994661","17871","Subscriber","1970","2"
"768","2013-12-01 00:00:15","2013-12-01 00:13:03","326","E 11 St & 1 Ave","40.72953837","-73.98426726","291","Madison St & Montgomery St","40.713126","-73.984844","18508","Subscriber","1982","2"
"218","2013-12-01 00:00:49","2013-12-01 00:04:27","2021","W 45 St & 8 Ave","40.75929124","-73.98859651","447","8 Ave & W 52 St","40.76370739","-73.9851615","17745","Subscriber","1976","1"
"550","2013-12-01 00:01:28","2013-12-01 00:10:38","439","E 4 St & 2 Ave","40.7262807","-73.98978041","296","Division St & Bowery","40.71413089","-73.9970468","16947","Subscriber","1983","1"
"102","2013-12-01 00:01:43","2013-12-01 00:03:25","457","Broadway & W 58 St","40.76695317","-73.98169333","469","Broadway & W 53 St","40.76344058","-73.98268129","18394","Subscriber","1975","1"
"710","2013-12-01 00:02:20","2013-12-01 00:14:10","268","Howard St & Centre St","40.71910537","-73.99973337","293","Lafayette St & E 8 St","40.73028666","-73.9907647","17832","Subscriber","1984","1"
"698","2013-12-01 00:02:40","2013-12-01 00:14:18","268","Howard St & Centre St","40.71910537","-73.99973337","293","Lafayette St & E 8 St","40.73028666","-73.9907647","17169","Subscriber","1976","2"
"1420","2013-12-01 00:03:02","2013-12-01 00:26:42","380","W 4 St & 7 Ave S","40.73401143","-74.00293877","350","Clinton St & Grand St","40.71559509","-73.9870295","14932","Subscriber","1960","1"
"992","2013-12-01 00:03:25","2013-12-01 00:19:57","379","W 31 St & 7 Ave","40.749156","-73.9916","236","St Marks Pl & 2 Ave","40.7284186","-73.98713956","16435","Subscriber","1992","1"
"704","2013-12-01 00:03:58","2013-12-01 00:15:42","317","E 6 St & Avenue B","40.72453734","-73.98185424","254","W 11 St & 6 Ave","40.73532427","-73.99800419","17665","Subscriber","1982","1"
"418","2013-12-01 00:04:19","2013-12-01 00:11:17","539","Metropolitan Ave & Bedford Ave","40.71534825","-73.96024116","282","Kent Ave & S 11 St","40.70827295","-73.96834101","15182","Subscriber","1983","2"
"716","2013-12-01 00:04:19","2013-12-01 00:16:15","493","W 45 St & 6 Ave","40.7568001","-73.98291153","546","E 30 St & Park Ave S","40.74444921","-73.98303529","17063","Subscriber","1986","1"
"606","2013-12-01 00:04:21","2013-12-01 00:14:27","432","E 7 St & Avenue A","40.72621788","-73.98379855","502","Henry St & Grand St","40.714215","-73.981346","16260","Subscriber","1972","1"
